#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 70.000000, 680.000000, 70.401293, 664.646676, 37.053722, 176.723772, 433, 166, 52370.0, 4482.0, 24970.0, 81822.0
1, 70.000000, 680.000000, 72.574672, 662.957448, 37.741250, 205.393138, 433, 168, 54261.0, 4419.0, 26285.0, 84965.0
2, 70.000000, 680.000000, 72.409560, 662.121384, 36.904643, 199.933546, 434, 165, 53493.0, 4450.0, 24944.0, 82887.0
3, 70.000000, 680.000000, 69.753074, 663.793503, 36.185929, 205.089311, 434, 166, 52727.0, 4555.0, 24849.0, 82131.0
4, 70.000000, 680.000000, 72.479968, 663.373165, 37.036521, 219.755295, 433, 164, 53667.0, 4371.0, 25529.0, 83567.0
5, 70.000000, 680.000000, 70.147829, 663.430759, 37.363834, 210.520216, 433, 168, 53001.0, 5613.0, 25191.0, 83805.0
6, 70.000000, 680.000000, 71.367010, 663.472191, 37.468016, 198.222640, 433, 165, 53938.0, 4394.0, 25175.0, 83507.0
7, 70.000000, 680.000000, 73.726152, 661.742997, 36.520306, 211.009782, 434, 168, 52902.0, 4475.0, 25339.0, 82716.0
8, 70.000000, 680.000000, 72.625217, 664.724932, 36.609644, 204.915898, 434, 166, 52768.0, 4592.0, 26028.0, 83388.0
9, 70.000000, 680.000000, 72.778754, 663.774406, 37.656509, 220.631068, 434, 165, 54266.0, 4536.0, 25017.0, 83819.0
10, 70.000000, 680.000000, 75.233051, 663.226322, 37.369369, 232.654643, 434, 170, 54804.0, 4548.0, 27214.0, 86566.0
11, 70.000000, 680.000000, 72.748488, 663.490677, 37.144082, 198.191684, 433, 163, 53137.0, 4480.0, 24421.0, 82038.0
12, 70.000000, 680.000000, 71.714404, 661.982634, 38.347062, 186.086992, 434, 170, 52530.0, 5710.0, 26068.0, 84308.0
13, 70.000000, 680.000000, 71.778983, 665.426470, 37.194967, 234.693896, 434, 164, 53425.0, 4640.0, 24550.0, 82615.0
14, 70.000000, 680.000000, 72.243251, 661.745111, 36.904643, 214.678231, 434, 165, 52291.0, 4456.0, 24459.0, 81206.0
15, 70.000000, 680.000000, 70.213119, 665.118419, 37.328758, 177.368982, 434, 167, 52045.0, 4490.0, 25010.0, 81545.0
16, 70.000000, 680.000000, 69.754202, 663.161337, 38.183598, 176.102005, 433, 169, 52476.0, 4343.0, 25316.0, 82135.0
17, 70.000000, 680.000000, 71.027765, 665.641033, 35.364397, 195.111581, 433, 165, 52133.0, 4953.0, 24740.0, 81826.0
18, 70.000000, 680.000000, 68.347606, 662.700038, 37.818722, 204.889605, 433, 165, 52391.0, 4343.0, 24741.0, 81475.0
19, 70.000000, 680.000000, 74.020452, 664.662895, 36.239566, 232.264968, 434, 167, 53919.0, 4521.0, 24977.0, 83417.0
20, 70.000000, 680.000000, 72.297139, 664.156234, 38.214310, 205.944409, 434, 167, 52576.0, 4537.0, 25262.0, 82375.0
21, 70.000000, 680.000000, 71.858256, 664.081331, 36.162099, 186.381416, 433, 166, 52092.0, 4337.0, 25783.0, 82212.0
22, 70.000000, 680.000000, 68.763537, 663.881518, 36.185929, 186.607955, 433, 167, 52504.0, 4409.0, 24962.0, 81875.0
23, 70.000000, 680.000000, 72.897370, 662.540260, 36.964744, 219.293466, 434, 167, 53010.0, 4455.0, 25129.0, 82594.0
24, 70.000000, 680.000000, 72.227045, 662.667821, 37.571519, 217.239091, 434, 167, 52401.0, 4791.0, 24984.0, 82176.0
25, 70.000000, 680.000000, 70.648504, 663.446228, 38.397773, 197.145428, 434, 167, 52747.0, 4485.0, 25772.0, 83004.0
26, 70.000000, 680.000000, 74.027089, 664.614907, 36.908648, 223.359510, 434, 164, 52622.0, 4570.0, 24802.0, 81994.0
27, 70.000000, 680.000000, 71.210878, 664.449900, 36.105343, 185.623552, 433, 164, 51972.0, 4329.0, 25151.0, 81452.0
