#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.350600, 665.657039, 39.020159, 0.108232, 441, 208, 256.0, 27.0, 149.0, 432.0
1, 80.000000, 670.000000, 72.069226, 659.939623, 45.329205, 0.102698, 441, 206, 269.0, 26.0, 150.0, 445.0
2, 80.000000, 670.000000, 74.975237, 661.153961, 34.345326, 0.043285, 442, 207, 256.0, 27.0, 150.0, 433.0
3, 80.000000, 670.000000, 70.628731, 661.676377, 38.829311, 0.078968, 441, 208, 255.0, 27.0, 151.0, 433.0
4, 80.000000, 670.000000, 71.340030, 662.634398, 39.295669, 0.107654, 441, 208, 307.0, 27.0, 161.0, 495.0
5, 80.000000, 660.000000, 76.164402, 660.759637, 29.230228, 0.034288, 441, 208, 255.0, 26.0, 152.0, 433.0
6, 80.000000, 670.000000, 69.465076, 662.181809, 44.731482, 0.085081, 442, 207, 256.0, 27.0, 150.0, 433.0
7, 80.000000, 670.000000, 73.864003, 660.122742, 44.319372, 0.081255, 441, 209, 256.0, 27.0, 165.0, 448.0
8, 80.000000, 670.000000, 69.897790, 661.967290, 41.624855, 0.135895, 441, 207, 255.0, 26.0, 149.0, 430.0
9, 80.000000, 670.000000, 70.813699, 661.346501, 40.273180, 0.070311, 441, 206, 355.0, 30.0, 161.0, 546.0
10, 80.000000, 660.000000, 73.588397, 660.437234, 39.437181, 0.086456, 441, 207, 255.0, 28.0, 150.0, 433.0
11, 80.000000, 670.000000, 77.958821, 660.548298, 30.231616, 0.082687, 441, 206, 254.0, 26.0, 150.0, 430.0
12, 80.000000, 660.000000, 75.218926, 660.189086, 37.007662, 0.062633, 442, 207, 255.0, 27.0, 150.0, 432.0
13, 80.000000, 660.000000, 77.485911, 659.555472, 30.750122, 0.053083, 441, 208, 403.0, 42.0, 250.0, 695.0
14, 80.000000, 660.000000, 74.568590, 660.513242, 38.764407, 0.051788, 441, 210, 255.0, 27.0, 151.0, 433.0
15, 80.000000, 660.000000, 72.983863, 660.762640, 36.715610, 0.044393, 442, 206, 253.0, 28.0, 148.0, 429.0
16, 80.000000, 660.000000, 74.869412, 660.865489, 32.226762, 0.045075, 442, 208, 266.0, 27.0, 175.0, 468.0
17, 80.000000, 670.000000, 75.422078, 661.512704, 29.290206, 0.039685, 441, 208, 253.0, 27.0, 153.0, 433.0
18, 80.000000, 660.000000, 74.163492, 659.646731, 36.364545, 0.035033, 441, 207, 254.0, 27.0, 149.0, 430.0
19, 80.000000, 670.000000, 76.794808, 660.806354, 34.607523, 0.088003, 442, 205, 255.0, 26.0, 151.0, 432.0
20, 80.000000, 660.000000, 75.937306, 659.939776, 34.088728, 0.074318, 442, 206, 255.0, 28.0, 149.0, 432.0
21, 80.000000, 660.000000, 74.929147, 660.874478, 31.398278, 0.067402, 441, 207, 254.0, 27.0, 152.0, 433.0
22, 80.000000, 670.000000, 69.644229, 661.667548, 40.963062, 0.102301, 441, 207, 265.0, 27.0, 148.0, 440.0
23, 80.000000, 670.000000, 71.942201, 660.310417, 39.968623, 0.067087, 442, 205, 334.0, 33.0, 150.0, 517.0
24, 80.000000, 670.000000, 71.122041, 661.767879, 42.144953, 0.085884, 441, 205, 255.0, 26.0, 149.0, 430.0
