#idx, x0, x1, x2, y, f_neval, total_time (us)
0, 68.323692, 665.530603, 39.370703, 0.108140, 6429, 4695.0
1, 71.961389, 660.214714, 45.943351, 0.102397, 6350, 5187.0
2, 74.978432, 661.161467, 35.327880, 0.042771, 6378, 4536.0
3, 70.656847, 661.307431, 39.152951, 0.078597, 6429, 4720.0
4, 71.387223, 662.630821, 38.549493, 0.107383, 6411, 4629.0
5, 76.452655, 660.821944, 28.601827, 0.034002, 6353, 4543.0
6, 69.679586, 661.742950, 44.424884, 0.084712, 6431, 4790.0
7, 74.119884, 660.108667, 44.213066, 0.081101, 6353, 4608.0
8, 69.718036, 662.252052, 41.823911, 0.135720, 6434, 4605.0
9, 70.765720, 661.392616, 39.721133, 0.070080, 6404, 4646.0
10, 74.060992, 659.983196, 38.956534, 0.086044, 6410, 4607.0
11, 78.440017, 660.524528, 30.970456, 0.081683, 6369, 4553.0
12, 75.144492, 660.103181, 36.854292, 0.062552, 6388, 4821.0
13, 77.304375, 659.627083, 31.184154, 0.052966, 6362, 4558.0
14, 74.567064, 660.429052, 38.502834, 0.051729, 6386, 4601.0
15, 73.138492, 660.595366, 36.126311, 0.044215, 6383, 4636.0
16, 74.976243, 660.633913, 32.027997, 0.044868, 6368, 4577.0
17, 76.325140, 660.955696, 28.379941, 0.037720, 6349, 4590.0
18, 74.153367, 659.554988, 36.067818, 0.034948, 6373, 4634.0
19, 77.098538, 660.854905, 34.707728, 0.087682, 6373, 4534.0
20, 76.031218, 659.985203, 33.752296, 0.074251, 6347, 4533.0
21, 74.725618, 661.359015, 29.699930, 0.065472, 6383, 4549.0
22, 69.621002, 661.815372, 40.595296, 0.102167, 6426, 4892.0
23, 71.872384, 660.518575, 40.023282, 0.066996, 6409, 4556.0
24, 70.921006, 661.950057, 41.722873, 0.085542, 6399, 4589.0
25, 74.172929, 659.391781, 38.451501, 0.059835, 6380, 4569.0
26, 69.733782, 660.989417, 42.701598, 0.193509, 6400, 4585.0
27, 67.703014, 661.010169, 45.380515, 0.147859, 6425, 4588.0
28, 71.864244, 660.294792, 38.979610, 0.072530, 6429, 4701.0
29, 72.403899, 660.538751, 42.223667, 0.074903, 6406, 4609.0
30, 72.610542, 660.360893, 39.002370, 0.062076, 6407, 4588.0
31, 69.058613, 662.066594, 42.603437, 0.136327, 6428, 4707.0
32, 78.420644, 658.706470, 32.733478, 0.056901, 6372, 4535.0
33, 75.598123, 658.507628, 34.868504, 0.045000, 6383, 5145.0
34, 71.690533, 660.192021, 43.862939, 0.068785, 6435, 4842.0
35, 71.754866, 662.917963, 38.232131, 0.040594, 6421, 4585.0
36, 67.207837, 658.872989, 48.245191, 0.172136, 6429, 4649.0
37, 72.758450, 659.485358, 40.301413, 0.037191, 6381, 4643.0
38, 70.349721, 659.127337, 46.888476, 0.060562, 6379, 4581.0
39, 72.649866, 660.196100, 35.122303, 0.065909, 6388, 4548.0
40, 68.110911, 662.030571, 42.436392, 0.073306, 6430, 4708.0
41, 70.739578, 662.730589, 37.968995, 0.071302, 6439, 4596.0
42, 69.649594, 663.567345, 34.754226, 0.101682, 6427, 4574.0
43, 72.232368, 660.743202, 43.703112, 0.071750, 6408, 4665.0
44, 70.807415, 661.765094, 40.069105, 0.075276, 6411, 4752.0
45, 71.454249, 661.213801, 37.724041, 0.040614, 6403, 4567.0
46, 70.642619, 660.563614, 43.547521, 0.145026, 6407, 4645.0
47, 77.441225, 659.253863, 31.877521, 0.073653, 6342, 4527.0
48, 71.944371, 661.160448, 41.389493, 0.052369, 6396, 4592.0
49, 77.126497, 658.631463, 30.518617, 0.020892, 6386, 4694.0
50, 68.366070, 661.388814, 41.703158, 0.163893, 6418, 4615.0
51, 70.670868, 659.470678, 42.309263, 0.139088, 6369, 4575.0
52, 69.068160, 662.668226, 37.883559, 0.061303, 6426, 4672.0
53, 72.246500, 661.107788, 38.116547, 0.047410, 6403, 4562.0
54, 75.388549, 659.753831, 31.610379, 0.041561, 6338, 4553.0
55, 69.574835, 659.987600, 44.686597, 0.076444, 6416, 5168.0
56, 70.132156, 663.119130, 43.140190, 0.076650, 6428, 4580.0
57, 66.655819, 659.541836, 46.486933, 0.220982, 6425, 4577.0
58, 70.341101, 660.855102, 44.651748, 0.121303, 6413, 4701.0
59, 72.910502, 660.497144, 35.542130, 0.036910, 6399, 4587.0
60, 73.272705, 660.404771, 37.469585, 0.061330, 6381, 5458.0
61, 74.496917, 660.705436, 31.229976, 0.034808, 6405, 5245.0
62, 68.850920, 662.527266, 36.997419, 0.065984, 6431, 4586.0
63, 77.474530, 659.293415, 28.879326, 0.072678, 6336, 4481.0
64, 72.512104, 659.454736, 45.050244, 0.141670, 6362, 4606.0
65, 70.094418, 659.970523, 38.844718, 0.068630, 6400, 4632.0
66, 68.679945, 659.702217, 44.057221, 0.076855, 6427, 4619.0
67, 74.088323, 659.788065, 34.744133, 0.024847, 6407, 4667.0
68, 69.185333, 659.811652, 45.088194, 0.070020, 6429, 4601.0
69, 68.462125, 661.780038, 41.792682, 0.082407, 6426, 4601.0
70, 68.182626, 660.096133, 44.168899, 0.107717, 6434, 4705.0
71, 73.656592, 659.834158, 41.239784, 0.061686, 6358, 5673.0
72, 70.806459, 663.714139, 37.684349, 0.083288, 6430, 4609.0
73, 68.679566, 660.733045, 44.523064, 0.041676, 6425, 4683.0
74, 69.060087, 662.626239, 37.642480, 0.065655, 6430, 4558.0
75, 71.989314, 660.649283, 37.185424, 0.032026, 6401, 4553.0
76, 68.452779, 664.148189, 35.521504, 0.094070, 6424, 4731.0
77, 65.848825, 662.309674, 44.223610, 0.114778, 6428, 4622.0
78, 76.054487, 659.101708, 37.627678, 0.035480, 6359, 4525.0
79, 70.618299, 660.205490, 43.808795, 0.139301, 6398, 4692.0
80, 70.047436, 661.063649, 38.494348, 0.028835, 6421, 4602.0
81, 70.293743, 661.815078, 40.473363, 0.038193, 6435, 4826.0
82, 67.532955, 662.351459, 42.858967, 0.105545, 6425, 4668.0
83, 69.172845, 662.245137, 39.613633, 0.061072, 6427, 4574.0
84, 69.618426, 660.094375, 43.469866, 0.119786, 6401, 4637.0
85, 67.871771, 661.694309, 43.893033, 0.112041, 6429, 4673.0
86, 74.441689, 660.810298, 33.622144, 0.032270, 6374, 4535.0
87, 68.310012, 662.248752, 41.330306, 0.077594, 6425, 4644.0
88, 64.732174, 665.079991, 39.748777, 0.214842, 6433, 4700.0
89, 71.841687, 660.940504, 38.407497, 0.051034, 6403, 4562.0
90, 69.090193, 660.252180, 45.504297, 0.059987, 6424, 4658.0
91, 71.560310, 660.695636, 38.426797, 0.051077, 6391, 4685.0
92, 67.531574, 666.106372, 50.881320, 0.047551, 6419, 5034.0
93, 70.236812, 660.671231, 42.657269, 0.042758, 6408, 4569.0
94, 71.045521, 660.659792, 46.521470, 0.057495, 6424, 4679.0
95, 74.880080, 660.976148, 32.207284, 0.049692, 6385, 4617.0
96, 71.849836, 660.098648, 39.394052, 0.029777, 6396, 4619.0
97, 70.339681, 661.610698, 43.693721, 0.043620, 6432, 4703.0
98, 73.115602, 660.746367, 37.028258, 0.044411, 6407, 5396.0
99, 71.031236, 662.072110, 37.770915, 0.043556, 6412, 4587.0
100, 69.548593, 660.535526, 46.047456, 0.046830, 6429, 4690.0
101, 69.621836, 662.816328, 44.306328, 0.145941, 6431, 4577.0
102, 68.416017, 661.664221, 43.500544, 0.079397, 6427, 4625.0
103, 68.255262, 661.072388, 43.850148, 0.047084, 6436, 4706.0
104, 67.827189, 661.189929, 40.792297, 0.127171, 6431, 4586.0
105, 69.603622, 662.029356, 36.215924, 0.076353, 6433, 4600.0
106, 68.854979, 659.562033, 43.554055, 0.083167, 6435, 4712.0
107, 75.737674, 657.711976, 42.990310, 0.076641, 6320, 4521.0
108, 69.684284, 661.935209, 40.974059, 0.056930, 6424, 4673.0
109, 66.158317, 661.548285, 43.779163, 0.156478, 6430, 5492.0
110, 72.095539, 660.773598, 39.290988, 0.076763, 6405, 4570.0
111, 71.856593, 661.780409, 35.416666, 0.062649, 6428, 4582.0
112, 76.267520, 659.547756, 31.505608, 0.037344, 6377, 4625.0
113, 68.893441, 661.654392, 43.588090, 0.078689, 6430, 4616.0
114, 69.450616, 661.569008, 43.822198, 0.076680, 6427, 5571.0
115, 73.591931, 661.429639, 31.913193, 0.028876, 6384, 4643.0
116, 73.050201, 659.460435, 35.175590, 0.041601, 6380, 4565.0
117, 72.073614, 660.823808, 44.200209, 0.047300, 6396, 4671.0
118, 69.211191, 663.213725, 39.551338, 0.059611, 6427, 4671.0
119, 73.178219, 658.721334, 39.602654, 0.029223, 6384, 4600.0
120, 69.049795, 662.330947, 39.836555, 0.062619, 6428, 4638.0
121, 65.273880, 661.889572, 44.478673, 0.186775, 6429, 4675.0
122, 76.874744, 659.730985, 30.569657, 0.076674, 6351, 4518.0
123, 69.950585, 662.286728, 41.941042, 0.032871, 6429, 4660.0
124, 73.946161, 659.087106, 35.914146, 0.033575, 6383, 4720.0
125, 71.872756, 659.162134, 42.960220, 0.052707, 6386, 4729.0
126, 68.322556, 659.952938, 43.251891, 0.050253, 6421, 4733.0
127, 67.755551, 661.810220, 40.019507, 0.079393, 6438, 4737.0
128, 67.936500, 659.468375, 43.894226, 0.143140, 6432, 4596.0
129, 70.569557, 661.395659, 41.858727, 0.123148, 6425, 4593.0
130, 70.318061, 664.123367, 36.802370, 0.079584, 6424, 4681.0
131, 67.246037, 664.552528, 41.462365, 0.123834, 6434, 4622.0
132, 74.331197, 658.142465, 39.989306, 0.035919, 6362, 4555.0
133, 70.176711, 660.190690, 43.654809, 0.075168, 6426, 4680.0
134, 71.067875, 662.487435, 37.883221, 0.033920, 6426, 4621.0
135, 71.399116, 662.653156, 36.028586, 0.063591, 6427, 4638.0
136, 67.823935, 660.839520, 45.558982, 0.236192, 6430, 4685.0
137, 68.997354, 660.359325, 48.910959, 0.164147, 6414, 4574.0
138, 66.121392, 660.972762, 43.446585, 0.238430, 6425, 4602.0
139, 71.065024, 661.624376, 42.422746, 0.127361, 6430, 4682.0
140, 67.979132, 661.970181, 43.566295, 0.090646, 6433, 4597.0
141, 68.644744, 661.994671, 40.473357, 0.074871, 6421, 4614.0
142, 75.150158, 660.137117, 36.500578, 0.071884, 6402, 4710.0
143, 76.932581, 659.463399, 31.426824, 0.058201, 6365, 4528.0
144, 72.662759, 662.122535, 39.663245, 0.094814, 6400, 4581.0
145, 71.689164, 660.140166, 43.833058, 0.093233, 6387, 4562.0
146, 70.826127, 662.303952, 38.062453, 0.068892, 6429, 4594.0
147, 79.275486, 660.201086, 25.418803, 0.050311, 6365, 4530.0
148, 73.965068, 660.961202, 32.717936, 0.052838, 6394, 4574.0
149, 70.940664, 662.849647, 41.708694, 0.121112, 6422, 4701.0
150, 69.800098, 662.697768, 40.956405, 0.047033, 6427, 4582.0
151, 70.990572, 661.368739, 42.486712, 0.094005, 6432, 4588.0
152, 72.481605, 661.253830, 41.712835, 0.145381, 6375, 4532.0
153, 69.442978, 661.117594, 44.391634, 0.240595, 6421, 4621.0
154, 68.415967, 660.420841, 45.752795, 0.114148, 6436, 4610.0
155, 68.736453, 662.321105, 44.667393, 0.179301, 6424, 4715.0
156, 67.856420, 660.593065, 44.822998, 0.100140, 6433, 4602.0
157, 72.412282, 660.990415, 36.472361, 0.009218, 6400, 4600.0
158, 73.249047, 660.606658, 38.256114, 0.035303, 6403, 4681.0
159, 70.377400, 661.456952, 44.029945, 0.072059, 6421, 4759.0
160, 70.895915, 661.200459, 43.144531, 0.102987, 6398, 4578.0
161, 68.644843, 663.509408, 41.159052, 0.240820, 6425, 4677.0
162, 69.456313, 661.985260, 43.055009, 0.154671, 6425, 4687.0
163, 67.321244, 660.822561, 44.773462, 0.108996, 6435, 4698.0
164, 72.461525, 660.438142, 40.255970, 0.033942, 6402, 4735.0
165, 70.976441, 661.886279, 41.949790, 0.074977, 6408, 4578.0
166, 71.249869, 661.036650, 41.254587, 0.110395, 6409, 4566.0
167, 66.016830, 661.299584, 43.199669, 0.231391, 6433, 4724.0
168, 74.449892, 661.510645, 31.892229, 0.043490, 6373, 4606.0
169, 75.209640, 659.687025, 36.181732, 0.038106, 6378, 6402.0
170, 70.813778, 661.327336, 41.691555, 0.057900, 6427, 4650.0
171, 70.889082, 660.575752, 40.396811, 0.065547, 6411, 4605.0
172, 72.581585, 661.255529, 38.270725, 0.042361, 6412, 4560.0
173, 74.037770, 660.079587, 38.602433, 0.055353, 6390, 4667.0
174, 69.090479, 661.661982, 43.628528, 0.109932, 6438, 4578.0
175, 67.693403, 665.421031, 38.496605, 0.113961, 6428, 4633.0
176, 66.141030, 660.249963, 46.060036, 0.209749, 6424, 4693.0
177, 71.317748, 662.509703, 40.151453, 0.084003, 6399, 4599.0
178, 67.480963, 658.999975, 47.392848, 0.156387, 6434, 4647.0
179, 70.711767, 660.684461, 41.734589, 0.051521, 6432, 4662.0
180, 75.812693, 659.955694, 36.655329, 0.059417, 6365, 4546.0
181, 72.802458, 659.367856, 37.345443, 0.036646, 6388, 4565.0
182, 69.392328, 660.904035, 42.927858, 0.070266, 6429, 4709.0
183, 66.970978, 663.890933, 39.799876, 0.120371, 6430, 4580.0
184, 71.868785, 661.593836, 39.108967, 0.074742, 6428, 4582.0
185, 70.162133, 662.790995, 37.398933, 0.042851, 6428, 4660.0
186, 72.497864, 659.185262, 39.769187, 0.051231, 6402, 4605.0
187, 66.156716, 661.973601, 45.912143, 0.103633, 6428, 4575.0
188, 66.363124, 663.916014, 40.145123, 0.138031, 6433, 4667.0
189, 71.549443, 662.044068, 34.370294, 0.035509, 6429, 4688.0
190, 69.105448, 661.857957, 42.683579, 0.124489, 6434, 4596.0
191, 71.750664, 659.933797, 41.229689, 0.037078, 6410, 4695.0
192, 73.827006, 660.815122, 33.554743, 0.048984, 6397, 4542.0
193, 71.572981, 662.479866, 35.851144, 0.043336, 6433, 4612.0
194, 74.358339, 660.759306, 32.684760, 0.041011, 6404, 4673.0
195, 73.436499, 661.501830, 39.315014, 0.099663, 6381, 4549.0
196, 69.790167, 661.819242, 42.104179, 0.050121, 6432, 4579.0
197, 68.307750, 662.636821, 38.445317, 0.115980, 6425, 4776.0
198, 74.477941, 659.468126, 31.735258, 0.057126, 6412, 4713.0
199, 72.859362, 661.973531, 33.616189, 0.064852, 6405, 4885.0
200, 73.121064, 659.758889, 39.693772, 0.098220, 6376, 4825.0
201, 69.578093, 662.035530, 39.706579, 0.057976, 6433, 4597.0
202, 68.739280, 663.483419, 37.820118, 0.039676, 6421, 4679.0
203, 78.416836, 658.181105, 37.269434, 0.078077, 6349, 5165.0
204, 71.440226, 661.189074, 39.648443, 0.034408, 6402, 4627.0
205, 74.701029, 660.187084, 38.966104, 0.120716, 6342, 4542.0
206, 71.326111, 662.071679, 34.297868, 0.057081, 6426, 4833.0
207, 68.027513, 663.247998, 40.542133, 0.116239, 6429, 4593.0
208, 67.896208, 660.887603, 45.360358, 0.048875, 6431, 4697.0
209, 73.017344, 661.045396, 39.203233, 0.055315, 6403, 6097.0
